Module Code,Level,Instructor,Major
YSC1212-1,1000,DANVY,MCS
YSC1216,1000,WERTZ,MCS
YSC2209,2000,FRANCESCA,MCS
YSC2213,2000,STAMPS,MCS
YSC2221,2000,RAZVAN,MCS
YSC2229,2000,SERGEY,MCS
YSC2232,2000,WERTZ,MCS
YSC2239-1,2000,VAN DEN BOOM,MCS
YSC2244,2000,BODIN,MCS
YSC3217,3000,BODIN,MCS
YSC3239,3000,FRANCESCA,MCS
YSC3240,3000,HEINECKE,MCS
YSC3249,3000,DE IORIO,MCS
YSC3252,3000,BESKOS,MCS
YSC4224,4000,ARGIENTO,MCS
YSC4225,4000,BESKOS,MCS
YSC1207,1000,BERNASEK,PHY SCI
YSC1218,1000,THAMATTOOR,PHY SCI
YSC1219,1000,SHARON,PHY SCI
YSC2203,2000,NG.H.K,PHY SCI
YSC2237,2000,RODIN,PHY SCI
YSC2246,2000,OLSEN,PHY SCI
YSC3224,3000,OLSEN,PHY SCI
YSC3246,3000,SHARON,PHY SCI
YSC4209,4000,SHAFFIQUE,PHY SCI
YSC2202,2000,GRUBER,LIFE SCI
YSC2235,2000,E.TAN,LIFE SCI
YSC2236,2000,POINTING,LIFE SCI
YSC3253,3000,WAINWRIGHT,LIFE SCI
YSC2247,2000,VAN BREUGEL,LIFE SCI
YSC2250,2000,JOHNS,LIFE SCI
YSC3214,3000,M.CHEUNG,LIFE SCI
YSC3233,3000,A.GUO,LIFE SCI
YSC3241,3000,HARMSTON,LIFE SCI
YSC4211,4000,TOLWINSKI,LIFE SCI
YHU2203,2000,TAROUTINA,ARTS HUM
YHU2222,2000,LEE.C.K,ARTS HUM
YHU2223,2000,WHITE,ARTS HUM
YHU2291,2000,CHEN.Y,ARTS HUM
YHU2310,2000,OTTO,ARTS HUM
YHU3292,3000,CHEN.Y,ARTS HUM
YHU3327,3000,JACK,ARTS HUM
YHU3331,3000,HUSK,ARTS HUM
YHU4215,4000,KAUR,ARTS HUM
YHU4216,4000,YPIL,ARTS HUM
YHU4252,4000,DONNER,ARTS HUM
YHU2218,2000,C.ANG,HISTORY
YHU3322,3000,RIGO,HISTORY
YHU4231,4000,MAYER,HISTORY
YHU4246,4000,DUPONT,HISTORY
YHU2212,2000,COOK,LIT
YHU2294,2000,BOER,LIT
YHU2309,2000,DALTON,LIT
YHU3210,3000,BOER,LIT
YHU3211,3000,COOK,LIT
YHU3319,3000,GOLDSTEIN,LIT
YHU3321,3000,PATKE,LIT
YHU3329,3000,GREEN,LIT
YHU4247,4000,A.HUI,LIT
