Module Code,Level,Instructor,Major
YCC1131-L,1000,,CC
YCC1131-1-1,1000, BERNASEK,CC
YCC1131-1-2,1000, GRUBER,CC
YCC1131-1-3,1000,JOHNS,CC
YCC1131-1-4,1000,KHOO.H.E,CC
YCC1131-1-5,1000,HARMSTON,CC
YCC1131-1-6,1000,PIEL,CC
YCC1131-1-7,1000,SARANATHAN,CC
YCC1131-2-1,1000, MONTEIRO,CC
YCC1131-2-2,1000,GRUBER,CC
YCC1131-2-3,1000,JOHNS,CC
YCC1131-2-4,1000,KHOO.H.E,CC
YCC1131-2-5,1000,HARMSTON,CC
YCC1131-2-6,1000,PIEL,CC
YCC1131-2-7,1000,SARANATHAN,CC
YCC1114-L,1000,,CC
YCC1114-1-1,1000,GOMES,CC
YCC1114-1-2,1000,KOH.T.Y,CC
YCC1114-1-3,1000,BAILEY,CC
YCC1114-1-4,1000,LAZAR,CC
YCC1114-1-5,1000,E.CHAN,CC
YCC1114-1-6,1000,ENTEL,CC
YCC1114-1-7,1000,FIELD,CC
YCC1114-2-1,1000,ENTEL,CC
YCC1114-2-2,1000,E.CHAN,CC
YCC1114-2-3,1000,VAN NORDEN,CC
YCC1114-2-4,1000,BAILEY,CC
YCC1114-2-5,1000,GOMES,CC
YCC1114-2-6,1000,LAZAR,CC
YCC1114-2-7,1000,FIELD,CC
YCC1112-L,1000,,CC
YCC1112-1-1,1000,NOZOMI,CC
YCC1112-1-2,1000,NARDIN,CC
YCC1112-1-3,1000,MAYER,CC
YCC1112-1-4,1000,DALTON,CC
YCC1112-2-1,1000,DALTON,CC
YCC1112-1-5,1000,BERGSTROM,CC
YCC1112-2-2,1000,BAKER,CC
YCC1112-1-6,1000,FOO,CC
YCC1112-2-3,1000,GOLDSTEIN,CC
YCC1112-1-7,1000,A.HUI,CC
YCC1112-2-4,1000,MAYER,CC
YCC1112-2-5,1000,NARDIN,CC
YCC1112-2-6,1000,NOZOMI,CC
YCC1112-2-7,1000,WONG.M,CC
YSC1212-1,1000,DANVY,MCS
YSC1212-2,1000,DANVY,MCS
YSC1216,1000,WERTZ,MCS
YSC2209,2000,FRANCESCA,MCS
YSC2213,2000,STAMPS,MCS
YSC2221,2000,RAZVAN,MCS
YSC2229,2000,SERGEY,MCS
YSC2232,2000,WERTZ,MCS
YSC2239-1,2000,VAN DEN BOOM,MCS
YSC2239-2,2000,VAN DEN BOOM,MCS
YSC2244,2000,BODIN,MCS
YSC3217,3000,BODIN,MCS
YSC3239,3000,FRANCESCA,MCS
YSC3240,3000,HEINECKE,MCS
YSC3249,3000,DE IORIO,MCS
YSC3252,3000,BESKOS,MCS
YSC4224,4000,ARGIENTO,MCS
YSC4225,4000,BESKOS,MCS
YSC1207,1000,BERNASEK,PHY SCI
YSC1218,1000,THAMATTOOR,PHY SCI
YSC1219,1000,SHARON,PHY SCI
YSC2203,2000,NG.H.K,PHY SCI
YSC2237,2000,RODIN,PHY SCI
YSC2246,2000,OLSEN,PHY SCI
YSC3224,3000,OLSEN,PHY SCI
YSC3246,3000,SHARON,PHY SCI
YSC4209,4000,SHAFFIQUE,PHY SCI
YSC2202,2000,GRUBER,LIFE SCI
YSC2235,2000,E.TAN,LIFE SCI
YSC2236,2000,POINTING,LIFE SCI
YSC3253,3000,WAINWRIGHT,LIFE SCI
YSC2247,2000,VAN BREUGEL,LIFE SCI
YSC2250,2000,JOHNS,LIFE SCI
YSC3214,3000,M.CHEUNG,LIFE SCI
YSC3233,3000,A.GUO,LIFE SCI
YSC3241,3000,HARMSTON,LIFE SCI
YSC4211,4000,TOLWINSKI,LIFE SCI
YHU2203,2000,TAROUTINA,ARTS HUM
YHU2222,2000,LEE.C.K,ARTS HUM
YHU2223,2000,WHITE,ARTS HUM
YHU2291,2000,CHEN.Y,ARTS HUM
YHU2310,2000,OTTO,ARTS HUM
YHU3292,3000,CHEN.Y,ARTS HUM
YHU3327,3000,JACK,ARTS HUM
YHU3331,3000,HUSK,ARTS HUM
YHU4215,4000,KAUR,ARTS HUM
YHU4216,4000,YPIL,ARTS HUM
YHU4252,4000,DONNER,ARTS HUM
YHU2218,2000,C.ANG,HISTORY
YHU3322,3000,RIGO,HISTORY
YHU4231,4000,MAYER,HISTORY
YHU4246,4000,DUPONT,HISTORY
YHU2212,2000,COOK,LIT
YHU2294,2000,BOER,LIT
YHU2309,2000,DALTON,LIT
YHU3210,3000,BOER,LIT
YHU3211,3000,COOK,LIT
YHU3319,3000,GOLDSTEIN,LIT
YHU3321,3000,PATKE,LIT
YHU3329,3000,GREEN,LIT
YHU4247,4000,A.HUI,LIT
YHU4249,4000,BAKER,LIT
YHU2206,2000,C.LIU,PHILO
YHU2260,2000,DUFFY,PHILO
YHU2282,2000,MEHTA,PHILO
YHU2287,2000,VAN NORDEN,PHILO
YHU2303,2000,WALKER,PHILO
YHU3212,3000,DUFFY,PHILO
YHU3283,3000,MEHTA,PHILO
YHU3320,3000,CARPENTER,PHILO
YSS2223,2000,STRANGE,ANTHRO
YSS2227-1,2000,MAHADEV,ANTHRO
YSS2227-2,2000,MAHADEV,ANTHRO
YSS2230,2000,KOCH,ANTHRO
YSS3290,3000,VAN HOLLEN,ANTHRO
YSS4229,4000,KOCH,ANTHRO
YSS4241,4000,STRANGE,ANTHRO
YSS1203,1000,DRIFFILL,ECONS
YSS1205,1000,DENNIG,ECONS
YSS2203-1,2000,DENNIG,ECONS
YSS2203-2,2000,DENNIG,ECONS
YSS2211-1,2000,XIA.X,ECONS
YSS2211-2,2000,XIA.X,ECONS
YSS2214,2000,DENG.L,ECONS
YSS3203,3000,ZHANG.J,ECONS
YSS3206,3000,ROBERTS,ECONS
YSS3208,3000,B.LAM,ECONS
YSS3220,3000,RIAMBAU,ECONS
YSS3248,3000,B.LAM,ECONS
YSS3264,3000,DRIFFILL,ECONS
YSS3299,3000,KAPUR,ECONS
YSS2202,2000,JOSHI,GA
YSS2237,2000,A.DEBS,GA
YSS2238,2000,A.DEBS,GA
YSS3212,3000,OLIVER,GA
YSS3221,3000,TOHA,GA
YSS3225,3000,KIM.D.J,GA
YSS3238,3000,KIM.D.J,GA
YSS3255,3000,TOHA,GA
YSS3295-1,3000,M.DEBS,GA
YSS3295-2,3000,M.DEBS,GA
YSS4226,4000,PAUL,GA
YSS4237,4000,SANGER,GA
YSS4256,4000,C.H.HUANG,GA
YSS1206,1000,MAIORANO,PPE
YSS2208,2000,TARNOPOLSKY,PPE
YSS2235,2000,EWICK,PPE
YSS3241,3000,E.CHAN,PPE
YSS3263,3000,TARNOPOLSKY,PPE
YSS4224,4000,OLIVER,PPE
YSS4254,4000,EWICK,PPE
YSS2201,2000,ASPLUND,PSYCH
YSS2216,2000,V.YIP,PSYCH
YSS3214,3000,S.L.KENG,PSYCH
YSS3219,3000,CHEUNG.H.S,PSYCH
YSS3278,3000,OKEEFE,PSYCH
YSS3279,3000,OKEEFE,PSYCH
YSS3285,3000,V.YIP,PSYCH
YSS3298,3000,WYNN,PSYCH
YSS3300,3000,CHEUNG.H.S,PSYCH
YSS4230,4000,S.L.KENG,PSYCH
YSS2220,2000,JACOBS,URBAN
YSS3218,3000,STERN,URBAN
YSS3222,3000,CARDOSO,URBAN
YSS3235,3000,COMAROFF,URBAN
YSS3274,3000,CHUA.B.H,URBAN
YSS4234,4000,JACOBS,URBAN
YSS3231,3000,ZUIN,SOC SCI
YID1201,1000,MONTEFRIO,ES
YID3202G,3000,MCADOO,ES
YID3202H,3000,MEDRANO,ES
YID3216,3000,YEW,ES
YSC2249,2000,REISS,ES
YLC1201-1,1000,KHOO.K.K,CHINESE
YLC1201-2,1000,TANG.D,CHINESE
YLC2201,2000,KHOO.K.K,CHINESE
YLC3203,3000,TANG.D,CHINESE
YLL1201,1000,GREEN,LATIN
YIL2201S,2000,AIIS INDIA,SANSKRIT
YLS1201,1000,LAGE-OTERO,SPANISH
YLS1202,1000,LAGE-OTERO,SPANISH
YLS2201,2000,ESPADAS,SPANISH
YLS2202,2000,ESPADAS,SPANISH
